,text,date,user.username,Negative,Neutral,Positive
0,OCU buys Scottish civils contractor RJ McLeod dlvr.it/T89Pfx,"Jun 12, 2024 · 10:02 AM UTC",@ConstructionEnq,0.040948257,0.92227167,0.036780033
1,Construction output falls for third month running https://www.newsnow.co.uk/share?data=eyJ1cmwiOiJodHRwczovL3d3dy5jb25zdHJ1Y3Rpb25lbnF1aXJlci5jb20vMjAyNC8wNi8xMi9jb25zdHJ1Y3Rpb24tb3V0cHV0LWZhbGxzLWZvci10aGlyZC1tb250aC1ydW5uaW5nLyIsInRpbWVzdGFtcCI6IjE3MTgxNzc5ODMiLCJwdWJOYW1lIjoiQ29uc3RydWN0aW9uIEVucXVpcmVyIiwidGl0bGUiOiJDb25zdHJ1Y3Rpb24gb3V0cHV0IGZhbGxzIGZvciB0aGlyZCBtb250aCBydW5uaW5nIiwicHViSWQiOiJDT05TVFJVQ1RJT05FTlFVSVJFUiIsImlkIjoiMTIzMjUxODI0MiIsImltZ1NpemVzIjp7ImQiOjEsImQyIjoxLCJkbCI6MSwibWwiOjEsImQxIjoxfSwibW5pZCI6IjU4MyJ9&sgt=shv2&sg=1d5b8fcc&utm_medium=shared&utm_source=newsnow&utm_campaign=twitter-x&sid=2 via @NewsNowUK,"Jun 12, 2024 · 8:51 AM UTC",@ConstructionEnq,0.21269317,0.74665076,0.040656034
2,Balfour wins design for £690m Skye transmission job dlvr.it/T895CQ,"Jun 12, 2024 · 7:19 AM UTC",@ConstructionEnq,0.009107603,0.67007697,0.3208154
3,Construction output falls for third month running dlvr.it/T8959H,"Jun 12, 2024 · 7:19 AM UTC",@ConstructionEnq,0.56867313,0.4120283,0.019298602
4,Plan in for Leeds 27-storey block of flats dlvr.it/T890pZ,"Jun 12, 2024 · 6:33 AM UTC",@ConstructionEnq,0.03106609,0.934748,0.034185886
5,Amey switches kit supplier dlvr.it/T890m6,"Jun 12, 2024 · 6:33 AM UTC",@ConstructionEnq,0.088194214,0.8705623,0.041243535
6,Student and resi developer Fortis goes under dlvr.it/T88z7S,"Jun 12, 2024 · 6:12 AM UTC",@ConstructionEnq,0.048912916,0.9108753,0.0402118
7,Track workers scatter to avoid runaway rail trolley dlvr.it/T88z72,"Jun 12, 2024 · 6:12 AM UTC",@ConstructionEnq,0.17619427,0.78173506,0.04207063
8,Firms readied for £1.5bn Parliament estate upkeep deal dlvr.it/T8897M,"Jun 11, 2024 · 7:57 PM UTC",@ConstructionEnq,0.034028344,0.91896594,0.04700569
9,Planning for new homes plunges to record low dlvr.it/T86Wwm,"Jun 11, 2024 · 7:34 AM UTC",@ConstructionEnq,0.36999065,0.5845036,0.045505755
10,£100m Digbeth 33-storey flats job out to bid dlvr.it/T86Wv1,"Jun 11, 2024 · 7:34 AM UTC",@ConstructionEnq,0.0794369,0.88528055,0.03528256
11,Ex-Galliard boss to lead Battersea next building phase dlvr.it/T86Vzp,"Jun 11, 2024 · 7:24 AM UTC",@ConstructionEnq,0.051037654,0.90343225,0.045530062
12,Renew buys utilities contractor Excalon dlvr.it/T86Qcc,"Jun 11, 2024 · 6:36 AM UTC",@ConstructionEnq,0.044638578,0.9167608,0.038600605
13,"Van Elle fined £233,000 after piling rig kills driver dlvr.it/T86Qbt","Jun 11, 2024 · 6:36 AM UTC",@ConstructionEnq,0.8364587,0.1575183,0.0060229586
